url,organisation,repository,language,branch
https://github.com/apache/commons-collections.git,apache,commons-collections,java,master
https://github.com/apache/bookkeeper.git,apache,bookkeeper,java,master
https://github.com/apache/commons-rng.git,apache,commons-rng,java,master
https://github.com/apache/commons-fileupload.git,apache,commons-fileupload,java,master
https://github.com/apache/servicecomb-java-chassis.git,apache,servicecomb-java-chassis,java,master
https://github.com/apache/carbondata.git,apache,carbondata,java,master
https://github.com/apache/commons-io.git,apache,commons-io,java,master
https://github.com/apache/commons-compress.git,apache,commons-compress,java,master
https://github.com/apache/commons-math.git,apache,commons-math,java,master
https://github.com/apache/commons-codec.git,apache,commons-codec,java,master
https://github.com/apache/incubator-iotdb.git,apache,incubator-iotdb,java,master
https://github.com/apache/struts.git,apache,struts,java,master
https://github.com/apache/shardingsphere.git,apache,shardingsphere,java,master
https://github.com/apache/datasketches-hive.git,apache,datasketches-hive,java,master
https://github.com/apache/commons-cli.git,apache,commons-cli,java,master
https://github.com/apache/commons-pool.git,apache,commons-pool,java,master
https://github.com/apache/commons-dbutils.git,apache,commons-dbutils,java,master
https://github.com/apache/commons-release-plugin.git,apache,commons-release-plugin,java,master
https://github.com/apache/servicecomb-kie.git,apache,servicecomb-kie,java,master
https://github.com/apache/skywalking.git,apache,skywalking,java,master